year,region_type,region_year_spec,region_id,region_level,biotech_fund_amount
2014,NUTS,2013,BE,0,15006755.0
2014,NUTS,2013,BE2,1,903620.0
2014,NUTS,2013,BE21,2,402500.0
2014,NUTS,2013,BE211,3,402500.0
2014,NUTS,2013,BE24,2,501120.0
2014,NUTS,2013,BE242,3,501120.0
2014,NUTS,2013,BE3,1,14103135.0
2014,NUTS,2013,BE31,2,14103135.0
2014,NUTS,2013,BE310,3,14103135.0
2014,NUTS,2013,DE,0,7584373.15
2014,NUTS,2013,DE1,1,2569296.36
2014,NUTS,2013,DE11,2,477664.92
2014,NUTS,2013,DE111,3,477664.92
2014,NUTS,2013,DE12,2,2091631.44
2014,NUTS,2013,DE125,3,2091631.44
2014,NUTS,2013,DE2,1,50000.0
2014,NUTS,2013,DE21,2,50000.0
2014,NUTS,2013,DE21H,3,50000.0
2014,NUTS,2013,DE3,1,1457552.2
2014,NUTS,2013,DE30,2,1457552.2
2014,NUTS,2013,DE300,3,1457552.2
2014,NUTS,2013,DE6,1,653410.25
2014,NUTS,2013,DE60,2,653410.25
2014,NUTS,2013,DE600,3,653410.25
2014,NUTS,2013,DE7,1,73625.0
2014,NUTS,2013,DE72,2,73625.0
2014,NUTS,2013,DE724,3,73625.0
2014,NUTS,2013,DE9,1,1830845.0
2014,NUTS,2013,DE91,2,403770.0
2014,NUTS,2013,DE911,3,403770.0
2014,NUTS,2013,DE92,2,403750.0
2014,NUTS,2013,DE929,3,403750.0
2014,NUTS,2013,DE93,2,1023325.0
2014,NUTS,2013,DE932,3,1023325.0
2014,NUTS,2013,DEA,1,287836.38
2014,NUTS,2013,DEA2,2,287836.38
2014,NUTS,2013,DEA22,3,246300.3
2014,NUTS,2013,DEA2D,3,41536.08
2014,NUTS,2013,DEC,1,163375.0
2014,NUTS,2013,DEC0,2,163375.0
2014,NUTS,2013,DEC05,3,163375.0
2014,NUTS,2013,DED,1,498432.96
2014,NUTS,2013,DED2,2,498432.96
2014,NUTS,2013,DED21,3,498432.96
2014,NUTS,2013,DK,0,919750.0
2014,NUTS,2013,DK0,1,919750.0
2014,NUTS,2013,DK01,2,919750.0
2014,NUTS,2013,DK011,3,919750.0
2014,NUTS,2013,ES,0,400750.0
2014,NUTS,2013,ES4,1,400750.0
2014,NUTS,2013,ES42,2,400750.0
2014,NUTS,2013,ES422,3,400750.0
2014,NUTS,2013,FR,0,20864860.71
2014,NUTS,2013,FR1,1,19187280.71
2014,NUTS,2013,FR10,2,19187280.71
2014,NUTS,2013,FR101,3,18586030.71
2014,NUTS,2013,FR107,3,601250.0
2014,NUTS,2013,FR5,1,45000.0
2014,NUTS,2013,FR51,2,45000.0
2014,NUTS,2013,FR512,3,45000.0
2014,NUTS,2013,FR7,1,1544080.0
2014,NUTS,2013,FR71,2,1544080.0
2014,NUTS,2013,FR716,3,1544080.0
2014,NUTS,2013,FR8,1,88500.0
2014,NUTS,2013,FR82,2,88500.0
2014,NUTS,2013,FR824,3,88500.0
2014,NUTS,2013,HU,0,403750.0
2014,NUTS,2013,HU1,1,403750.0
2014,NUTS,2013,HU10,2,403750.0
2014,NUTS,2013,HU101,3,403750.0
2014,NUTS,2013,IE,0,531349.2
2014,NUTS,2013,IE0,1,531349.2
2014,NUTS,2013,IE02,2,531349.2
2014,NUTS,2013,IE021,3,531349.2
2014,NUTS,2013,IT,0,1316471.25
2014,NUTS,2013,ITH,1,434181.25
2014,NUTS,2013,ITH5,2,434181.25
2014,NUTS,2013,ITH55,3,434181.25
2014,NUTS,2013,ITI,1,882290.0
2014,NUTS,2013,ITI4,2,882290.0
2014,NUTS,2013,ITI43,3,882290.0
2014,NUTS,2013,LU,0,501120.0
2014,NUTS,2013,LU0,1,501120.0
2014,NUTS,2013,LU00,2,501120.0
2014,NUTS,2013,LU000,3,501120.0
2014,NUTS,2013,NL,0,5009873.75
2014,NUTS,2013,NL3,1,5009873.75
2014,NUTS,2013,NL31,2,763750.0
2014,NUTS,2013,NL310,3,763750.0
2014,NUTS,2013,NL32,2,844716.5
2014,NUTS,2013,NL326,3,844716.5
2014,NUTS,2013,NL33,2,3401407.25
2014,NUTS,2013,NL333,3,306250.0
2014,NUTS,2013,NL339,3,3095157.25
2014,NUTS,2013,SE,0,50000.0
2014,NUTS,2013,SE1,1,50000.0
2014,NUTS,2013,SE12,2,50000.0
2014,NUTS,2013,SE121,3,50000.0
2014,NUTS,2013,SI,0,72000.0
2014,NUTS,2013,SI0,1,72000.0
2014,NUTS,2013,SI04,2,72000.0
2014,NUTS,2013,SI041,3,72000.0
2014,NUTS,2013,UK,0,48116770.47
2014,NUTS,2013,UKI,1,48116770.47
2014,NUTS,2013,UKI3,2,48116770.47
2014,NUTS,2013,UKI32,3,48116770.47
2015,NUTS,2013,AT,0,10652142.31
2015,NUTS,2013,AT1,1,7120111.9
2015,NUTS,2013,AT12,2,3824282.05
2015,NUTS,2013,AT126,3,3824282.05
2015,NUTS,2013,AT13,2,3295829.85
2015,NUTS,2013,AT130,3,3295829.85
2015,NUTS,2013,AT2,1,1656262.25
2015,NUTS,2013,AT22,2,1656262.25
2015,NUTS,2013,AT221,3,1656262.25
2015,NUTS,2013,AT3,1,1875768.16
2015,NUTS,2013,AT33,2,1875768.16
2015,NUTS,2013,AT332,3,1875768.16
2015,NUTS,2013,BE,0,13106756.16
2015,NUTS,2013,BE1,1,3967851.57
2015,NUTS,2013,BE10,2,3967851.57
2015,NUTS,2013,BE100,3,3967851.57
2015,NUTS,2013,BE2,1,8367548.34
2015,NUTS,2013,BE21,2,1002240.0
2015,NUTS,2013,BE211,3,1002240.0
2015,NUTS,2013,BE23,2,4633620.0
2015,NUTS,2013,BE234,3,4633620.0
2015,NUTS,2013,BE24,2,2731688.34
2015,NUTS,2013,BE242,3,2731688.34
2015,NUTS,2013,BE3,1,771356.25
2015,NUTS,2013,BE31,2,232475.0
2015,NUTS,2013,BE310,3,232475.0
2015,NUTS,2013,BE33,2,538881.25
2015,NUTS,2013,BE332,3,538881.25
2015,NUTS,2013,CZ,0,1820408.75
