year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_hes_mio_nac
2013,NUTS,2010,AT33,2,303.322
2015,NUTS,2010,AT33,2,323.279
2017,NUTS,2010,AT33,2,330.188
2019,NUTS,2010,AT33,2,346.195
2011,NUTS,2010,AT34,2,6.419
2013,NUTS,2010,AT34,2,8.262
2019,NUTS,2010,AT34,2,10.692
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,18.604
2013,NUTS,2010,BA,0,30.668
2014,NUTS,2010,BA,0,43.83
2019,NUTS,2010,BA,0,39.287
2011,NUTS,2010,BE,0,1825.5
2012,NUTS,2010,BE,0,1877.94
2013,NUTS,2010,BE,0,1990.76
2014,NUTS,2010,BE,0,1972.315
2015,NUTS,2010,BE,0,2056.856
2016,NUTS,2010,BE,0,2296.131
2017,NUTS,2010,BE,0,2353.83
2018,NUTS,2010,BE,0,2423.524
2019,NUTS,2010,BE,0,2523.511
2020,NUTS,2010,BE,0,2776.129
2011,NUTS,2010,BE1,1,353.376
2012,NUTS,2010,BE1,1,371.003
2013,NUTS,2010,BE1,1,409.599
2014,NUTS,2010,BE1,1,396.614
2015,NUTS,2010,BE1,1,406.217
2016,NUTS,2010,BE1,1,460.638
2017,NUTS,2010,BE1,1,475.223
2018,NUTS,2010,BE1,1,462.62
2019,NUTS,2010,BE1,1,470.638
2011,NUTS,2010,BE10,2,353.376
2012,NUTS,2010,BE10,2,371.003
2013,NUTS,2010,BE10,2,409.599
2014,NUTS,2010,BE10,2,396.614
2015,NUTS,2010,BE10,2,406.217
2016,NUTS,2010,BE10,2,460.638
2017,NUTS,2010,BE10,2,475.223
2018,NUTS,2010,BE10,2,462.62
2019,NUTS,2010,BE10,2,470.638
2011,NUTS,2010,BE2,1,1031.443
2012,NUTS,2010,BE2,1,1068.675
2013,NUTS,2010,BE2,1,1133.671
2014,NUTS,2010,BE2,1,1120.498
2015,NUTS,2010,BE2,1,1161.687
2016,NUTS,2010,BE2,1,1287.953
2017,NUTS,2010,BE2,1,1296.096
2018,NUTS,2010,BE2,1,1388.52
2019,NUTS,2010,BE2,1,1504.892
2011,NUTS,2010,BE3,1,440.642
2012,NUTS,2010,BE3,1,438.261
2013,NUTS,2010,BE3,1,447.49
2014,NUTS,2010,BE3,1,455.203
2015,NUTS,2010,BE3,1,488.952
2016,NUTS,2010,BE3,1,547.54
2017,NUTS,2010,BE3,1,582.511
2018,NUTS,2010,BE3,1,572.384
2019,NUTS,2010,BE3,1,547.981
2012,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZ,1,0.0
2014,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2018,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2012,NUTS,2010,BEZZ,2,0.0
2013,NUTS,2010,BEZZ,2,0.0
2014,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2018,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,43.996
2012,NUTS,2010,BG,0,39.866
2013,NUTS,2010,BG,0,45.106
2014,NUTS,2010,BG,0,58.543
2015,NUTS,2010,BG,0,45.854
2016,NUTS,2010,BG,0,38.427
2017,NUTS,2010,BG,0,43.442
2018,NUTS,2010,BG,0,45.141
2019,NUTS,2010,BG,0,73.294
2020,NUTS,2010,BG,0,62.215
2011,NUTS,2010,BG3,1,7.5
2012,NUTS,2010,BG3,1,7.37
2014,NUTS,2010,BG3,1,15.369
2015,NUTS,2010,BG3,1,8.765
2016,NUTS,2010,BG3,1,9.349
2017,NUTS,2010,BG3,1,10.296
2018,NUTS,2010,BG3,1,11.333
2019,NUTS,2010,BG3,1,21.763
2011,NUTS,2010,BG32,2,1.485
2012,NUTS,2010,BG32,2,1.165
2013,NUTS,2010,BG32,2,1.291
2014,NUTS,2010,BG32,2,1.39
2015,NUTS,2010,BG32,2,1.434
2016,NUTS,2010,BG32,2,1.737
2017,NUTS,2010,BG32,2,1.986
2018,NUTS,2010,BG32,2,1.919
2019,NUTS,2010,BG32,2,1.957
2012,NUTS,2010,BG33,2,2.792
2013,NUTS,2010,BG33,2,3.527
2014,NUTS,2010,BG33,2,11.162
2015,NUTS,2010,BG33,2,4.134
2013,NUTS,2010,BG34,2,2.506
2016,NUTS,2010,BG34,2,3.19
2017,NUTS,2010,BG34,2,3.58
2011,NUTS,2010,BG4,1,36.496
2012,NUTS,2010,BG4,1,32.496
2014,NUTS,2010,BG4,1,43.174
2015,NUTS,2010,BG4,1,37.089
2016,NUTS,2010,BG4,1,29.078
2017,NUTS,2010,BG4,1,33.146
2018,NUTS,2010,BG4,1,33.808
2019,NUTS,2010,BG4,1,51.531
2012,NUTS,2010,BG41,2,26.667
2013,NUTS,2010,BG41,2,33.41
2014,NUTS,2010,BG41,2,39.909
2015,NUTS,2010,BG41,2,29.25
2016,NUTS,2010,BG41,2,24.904
2017,NUTS,2010,BG41,2,28.155
2018,NUTS,2010,BG41,2,28.021
2019,NUTS,2010,BG41,2,31.272
2012,NUTS,2010,BG42,2,5.829
2014,NUTS,2010,BG42,2,3.265
2015,NUTS,2010,BG42,2,7.839
2016,NUTS,2010,BG42,2,4.174
2017,NUTS,2010,BG42,2,4.991
2018,NUTS,2010,BG42,2,5.787
2019,NUTS,2010,BG42,2,20.259
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,5204.002
2014,NUTS,2010,CH,0,5659.178
2015,NUTS,2010,CH,0,5884.607
2017,NUTS,2010,CH,0,6217.356
2019,NUTS,2010,CH,0,6606.077
2012,NUTS,2010,CH0,1,5204.002
2014,NUTS,2010,CH0,1,5659.178
2015,NUTS,2010,CH0,1,5884.607
2017,NUTS,2010,CH0,1,6217.356
2019,NUTS,2010,CH0,1,6606.077
2011,NUTS,2010,CN_X_HK,5,68885.11
2012,NUTS,2010,CN_X_HK,5,78055.58
2013,NUTS,2010,CN_X_HK,5,85671.396
2014,NUTS,2010,CN_X_HK,5,89814.508
2015,NUTS,2010,CN_X_HK,5,99858.844
2016,NUTS,2010,CN_X_HK,5,107224.01
2017,NUTS,2010,CN_X_HK,5,126596.111
2018,NUTS,2010,CN_X_HK,5,145788.202
2019,NUTS,2010,CN_X_HK,5,179661.652
2011,NUTS,2010,CY,0,47.511
2012,NUTS,2010,CY,0,46.671
2013,NUTS,2010,CY,0,47.132
2014,NUTS,2010,CY,0,43.634
2015,NUTS,2010,CY,0,42.576
2016,NUTS,2010,CY,0,39.337
2017,NUTS,2010,CY,0,45.389
2018,NUTS,2010,CY,0,53.385
2019,NUTS,2010,CY,0,62.983
2020,NUTS,2010,CY,0,65.0
2011,NUTS,2010,CY0,1,47.511
2012,NUTS,2010,CY0,1,46.671
2013,NUTS,2010,CY0,1,47.132
2014,NUTS,2010,CY0,1,43.634
2015,NUTS,2010,CY0,1,42.576
2016,NUTS,2010,CY0,1,39.337
2017,NUTS,2010,CY0,1,45.389
2018,NUTS,2010,CY0,1,53.385
2019,NUTS,2010,CY0,1,62.983
2020,NUTS,2010,CY0,1,65.0
2011,NUTS,2010,CY00,2,47.511
2012,NUTS,2010,CY00,2,46.671
2013,NUTS,2010,CY00,2,47.132
2014,NUTS,2010,CY00,2,43.634
2015,NUTS,2010,CY00,2,42.576
2016,NUTS,2010,CY00,2,39.337
2017,NUTS,2010,CY00,2,45.389
2018,NUTS,2010,CY00,2,53.385
2019,NUTS,2010,CY00,2,62.983
2020,NUTS,2010,CY00,2,65.0
2011,NUTS,2010,CZ,0,15288.401
2012,NUTS,2010,CZ,0,19878.533
2013,NUTS,2010,CZ,0,21197.761
2014,NUTS,2010,CZ,0,21627.737
2015,NUTS,2010,CZ,0,22082.697
2016,NUTS,2010,CZ,0,16382.229
2017,NUTS,2010,CZ,0,17741.252
2018,NUTS,2010,CZ,0,22072.659
2019,NUTS,2010,CZ,0,24326.3
2020,NUTS,2010,CZ,0,24502.346
2011,NUTS,2010,CZ0,1,15288.401
2012,NUTS,2010,CZ0,1,19878.533
2013,NUTS,2010,CZ0,1,21197.761
2014,NUTS,2010,CZ0,1,21627.737
2015,NUTS,2010,CZ0,1,22082.697
2016,NUTS,2010,CZ0,1,16382.229
2017,NUTS,2010,CZ0,1,17741.252
2018,NUTS,2010,CZ0,1,22072.659
2019,NUTS,2010,CZ0,1,24326.3
2020,NUTS,2010,CZ0,1,24502.346
2011,NUTS,2010,CZ01,2,5281.775
2012,NUTS,2010,CZ01,2,5241.649
2013,NUTS,2010,CZ01,2,5944.867
2014,NUTS,2010,CZ01,2,6404.587
2015,NUTS,2010,CZ01,2,7384.594
2016,NUTS,2010,CZ01,2,6351.633
2017,NUTS,2010,CZ01,2,6947.546
2018,NUTS,2010,CZ01,2,8753.838
2019,NUTS,2010,CZ01,2,9513.45
2020,NUTS,2010,CZ01,2,9376.421
2011,NUTS,2010,CZ02,2,39.65
2012,NUTS,2010,CZ02,2,104.731
2013,NUTS,2010,CZ02,2,394.907
2014,NUTS,2010,CZ02,2,448.577
2015,NUTS,2010,CZ02,2,275.037
2016,NUTS,2010,CZ02,2,190.363
2017,NUTS,2010,CZ02,2,221.315
2018,NUTS,2010,CZ02,2,254.36
2019,NUTS,2010,CZ02,2,383.678
2020,NUTS,2010,CZ02,2,411.904
2011,NUTS,2010,CZ03,2,1144.568
2012,NUTS,2010,CZ03,2,1616.91
2013,NUTS,2010,CZ03,2,2128.989
2014,NUTS,2010,CZ03,2,2365.496
2015,NUTS,2010,CZ03,2,2051.46
2016,NUTS,2010,CZ03,2,1339.889
2017,NUTS,2010,CZ03,2,1395.43
2018,NUTS,2010,CZ03,2,1681.057
2019,NUTS,2010,CZ03,2,1823.294
2020,NUTS,2010,CZ03,2,1807.919
2011,NUTS,2010,CZ04,2,142.201
2012,NUTS,2010,CZ04,2,177.269
2013,NUTS,2010,CZ04,2,231.119
2014,NUTS,2010,CZ04,2,286.417
2015,NUTS,2010,CZ04,2,138.352
2016,NUTS,2010,CZ04,2,146.875
2017,NUTS,2010,CZ04,2,179.17
2018,NUTS,2010,CZ04,2,237.055
2019,NUTS,2010,CZ04,2,214.665
2020,NUTS,2010,CZ04,2,281.932
2011,NUTS,2010,CZ05,2,1378.904
2012,NUTS,2010,CZ05,2,1503.281
2013,NUTS,2010,CZ05,2,1678.093
2014,NUTS,2010,CZ05,2,1442.534
2015,NUTS,2010,CZ05,2,1445.918
2016,NUTS,2010,CZ05,2,1179.685
2017,NUTS,2010,CZ05,2,1428.728
2018,NUTS,2010,CZ05,2,1934.083
2019,NUTS,2010,CZ05,2,2001.94
2020,NUTS,2010,CZ05,2,1929.079
2011,NUTS,2010,CZ06,2,4368.524
2012,NUTS,2010,CZ06,2,6711.789
2013,NUTS,2010,CZ06,2,6761.817
2014,NUTS,2010,CZ06,2,6331.981
2015,NUTS,2010,CZ06,2,7131.6
2016,NUTS,2010,CZ06,2,4325.828
2017,NUTS,2010,CZ06,2,4799.23
2018,NUTS,2010,CZ06,2,5479.65
2019,NUTS,2010,CZ06,2,6188.425
2020,NUTS,2010,CZ06,2,6734.889
2011,NUTS,2010,CZ07,2,1228.457
2012,NUTS,2010,CZ07,2,2728.414
2013,NUTS,2010,CZ07,2,2024.772
2014,NUTS,2010,CZ07,2,2527.595
2015,NUTS,2010,CZ07,2,1893.885
2016,NUTS,2010,CZ07,2,1613.741
2017,NUTS,2010,CZ07,2,1618.544
2018,NUTS,2010,CZ07,2,2038.041
2019,NUTS,2010,CZ07,2,2153.146
2020,NUTS,2010,CZ07,2,2053.635
2011,NUTS,2010,CZ08,2,1704.322
2012,NUTS,2010,CZ08,2,1794.49
2013,NUTS,2010,CZ08,2,2033.197
2014,NUTS,2010,CZ08,2,1820.55
2015,NUTS,2010,CZ08,2,1761.851
2016,NUTS,2010,CZ08,2,1234.215
2017,NUTS,2010,CZ08,2,1151.289
2018,NUTS,2010,CZ08,2,1694.575
2019,NUTS,2010,CZ08,2,2047.702
2020,NUTS,2010,CZ08,2,1906.567
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
2015,NUTS,2010,CZZZ,2,0.0
2016,NUTS,2010,CZZZ,2,0.0
2017,NUTS,2010,CZZZ,2,0.0
2018,NUTS,2010,CZZZ,2,0.0
2019,NUTS,2010,CZZZ,2,0.0
2020,NUTS,2010,CZZZ,2,0.0
2011,NUTS,2010,DE,0,13517.573
2012,NUTS,2010,DE,0,13979.731
2013,NUTS,2010,DE,0,14301.708
2014,NUTS,2010,DE,0,14930.296
2015,NUTS,2010,DE,0,15344.212
2016,NUTS,2010,DE,0,16626.695
2017,NUTS,2010,DE,0,17282.307
2018,NUTS,2010,DE,0,18399.719
2019,NUTS,2010,DE,0,19172.81
2020,NUTS,2010,DE,0,19264.0
2011,NUTS,2010,DE1,1,2126.695
2012,NUTS,2010,DE1,1,2205.164
2013,NUTS,2010,DE1,1,2171.101
2014,NUTS,2010,DE1,1,2220.34
2015,NUTS,2010,DE1,1,2312.838
2016,NUTS,2010,DE1,1,2454.008
2017,NUTS,2010,DE1,1,2546.098
2018,NUTS,2010,DE1,1,2663.432
2019,NUTS,2010,DE1,1,2791.74
2011,NUTS,2010,DE11,2,384.652
2012,NUTS,2010,DE11,2,403.595
2013,NUTS,2010,DE11,2,423.507
2014,NUTS,2010,DE11,2,414.906
2015,NUTS,2010,DE11,2,442.002
2016,NUTS,2010,DE11,2,500.767
2017,NUTS,2010,DE11,2,522.403
2018,NUTS,2010,DE11,2,522.577
2019,NUTS,2010,DE11,2,527.93
2011,NUTS,2010,DE12,2,766.431
2012,NUTS,2010,DE12,2,792.239
2013,NUTS,2010,DE12,2,806.166
2014,NUTS,2010,DE12,2,797.769
2015,NUTS,2010,DE12,2,831.653
2016,NUTS,2010,DE12,2,831.391
2017,NUTS,2010,DE12,2,864.406
2018,NUTS,2010,DE12,2,913.634
2019,NUTS,2010,DE12,2,965.94
2011,NUTS,2010,DE13,2,410.857
2012,NUTS,2010,DE13,2,421.386
2013,NUTS,2010,DE13,2,430.942
2014,NUTS,2010,DE13,2,474.89
2015,NUTS,2010,DE13,2,481.08
2016,NUTS,2010,DE13,2,536.621
2017,NUTS,2010,DE13,2,539.664
2018,NUTS,2010,DE13,2,564.455
2019,NUTS,2010,DE13,2,596.76
2011,NUTS,2010,DE14,2,564.754
2012,NUTS,2010,DE14,2,587.945
2013,NUTS,2010,DE14,2,510.485
2014,NUTS,2010,DE14,2,532.776
2015,NUTS,2010,DE14,2,558.103
2016,NUTS,2010,DE14,2,585.229
2017,NUTS,2010,DE14,2,619.626
2018,NUTS,2010,DE14,2,662.767
2019,NUTS,2010,DE14,2,701.1
2011,NUTS,2010,DE2,1,2014.427
2012,NUTS,2010,DE2,1,2084.671
2013,NUTS,2010,DE2,1,2166.402
2014,NUTS,2010,DE2,1,2174.822
2015,NUTS,2010,DE2,1,2267.977
2016,NUTS,2010,DE2,1,2481.87
2017,NUTS,2010,DE2,1,2616.428
2018,NUTS,2010,DE2,1,2800.447
2019,NUTS,2010,DE2,1,2960.68
2011,NUTS,2010,DE21,2,994.962
2012,NUTS,2010,DE21,2,1056.583
2013,NUTS,2010,DE21,2,1122.716
2014,NUTS,2010,DE21,2,1130.103
2015,NUTS,2010,DE21,2,1197.248
2016,NUTS,2010,DE21,2,1275.091
2017,NUTS,2010,DE21,2,1332.926
2018,NUTS,2010,DE21,2,1447.343
2019,NUTS,2010,DE21,2,1542.11
2011,NUTS,2010,DE22,2,35.7
2012,NUTS,2010,DE22,2,35.588
2013,NUTS,2010,DE22,2,36.891
2014,NUTS,2010,DE22,2,40.066
2015,NUTS,2010,DE22,2,43.816
2016,NUTS,2010,DE22,2,58.693
2017,NUTS,2010,DE22,2,63.252
2018,NUTS,2010,DE22,2,68.67
2019,NUTS,2010,DE22,2,74.73
2011,NUTS,2010,DE23,2,159.562
2012,NUTS,2010,DE23,2,161.981
2013,NUTS,2010,DE23,2,165.112
2014,NUTS,2010,DE23,2,164.208
2015,NUTS,2010,DE23,2,168.788
2016,NUTS,2010,DE23,2,192.722
2017,NUTS,2010,DE23,2,210.236
2018,NUTS,2010,DE23,2,219.601
2019,NUTS,2010,DE23,2,231.89
2011,NUTS,2010,DE24,2,141.038
2012,NUTS,2010,DE24,2,151.694
2013,NUTS,2010,DE24,2,161.072
2014,NUTS,2010,DE24,2,139.885
2015,NUTS,2010,DE24,2,144.235
2016,NUTS,2010,DE24,2,166.728
2017,NUTS,2010,DE24,2,172.285
2018,NUTS,2010,DE24,2,185.14
2019,NUTS,2010,DE24,2,195.56
2011,NUTS,2010,DE25,2,381.739
2012,NUTS,2010,DE25,2,383.51
2013,NUTS,2010,DE25,2,392.055
2014,NUTS,2010,DE25,2,405.322
2015,NUTS,2010,DE25,2,398.653
2016,NUTS,2010,DE25,2,427.09
2017,NUTS,2010,DE25,2,451.475
2018,NUTS,2010,DE25,2,466.74
2019,NUTS,2010,DE25,2,473.19
2011,NUTS,2010,DE26,2,235.247
2012,NUTS,2010,DE26,2,232.836
2013,NUTS,2010,DE26,2,223.88
2014,NUTS,2010,DE26,2,229.967
2015,NUTS,2010,DE26,2,244.802
2016,NUTS,2010,DE26,2,271.813
2017,NUTS,2010,DE26,2,289.098
2018,NUTS,2010,DE26,2,301.59
2019,NUTS,2010,DE26,2,315.12
2011,NUTS,2010,DE27,2,66.178
2012,NUTS,2010,DE27,2,62.481
2013,NUTS,2010,DE27,2,64.676
2014,NUTS,2010,DE27,2,65.272
2015,NUTS,2010,DE27,2,70.435
2016,NUTS,2010,DE27,2,89.733
2017,NUTS,2010,DE27,2,97.155
2018,NUTS,2010,DE27,2,111.362
2019,NUTS,2010,DE27,2,128.09
2011,NUTS,2010,DE3,1,938.543
2012,NUTS,2010,DE3,1,936.006
2013,NUTS,2010,DE3,1,942.536
2014,NUTS,2010,DE3,1,1087.355
2015,NUTS,2010,DE3,1,1096.588
2016,NUTS,2010,DE3,1,1193.734
2017,NUTS,2010,DE3,1,1173.746
2018,NUTS,2010,DE3,1,1240.655
2019,NUTS,2010,DE3,1,1302.23
2011,NUTS,2010,DE30,2,938.543
2012,NUTS,2010,DE30,2,936.006
2013,NUTS,2010,DE30,2,942.536
2014,NUTS,2010,DE30,2,1087.355
2015,NUTS,2010,DE30,2,1096.588
2016,NUTS,2010,DE30,2,1193.734
2017,NUTS,2010,DE30,2,1173.746
2018,NUTS,2010,DE30,2,1240.655
2019,NUTS,2010,DE30,2,1302.23
2011,NUTS,2010,DE4,1,203.262
2012,NUTS,2010,DE4,1,206.671
2013,NUTS,2010,DE4,1,219.123
2014,NUTS,2010,DE4,1,222.081
2015,NUTS,2010,DE4,1,228.065
2016,NUTS,2010,DE4,1,235.263
2017,NUTS,2010,DE4,1,263.425
2018,NUTS,2010,DE4,1,280.297
2019,NUTS,2010,DE4,1,288.83
2011,NUTS,2010,DE40,2,203.262
2012,NUTS,2010,DE40,2,206.671
2013,NUTS,2010,DE40,2,219.123
2014,NUTS,2010,DE40,2,222.081
2015,NUTS,2010,DE40,2,228.065
2016,NUTS,2010,DE40,2,235.263
2017,NUTS,2010,DE40,2,263.425
2018,NUTS,2010,DE40,2,280.297
2019,NUTS,2010,DE40,2,288.83
2011,NUTS,2010,DE5,1,212.292
2012,NUTS,2010,DE5,1,208.705
2013,NUTS,2010,DE5,1,210.991
2014,NUTS,2010,DE5,1,205.4
2015,NUTS,2010,DE5,1,207.193
2016,NUTS,2010,DE5,1,239.491
2017,NUTS,2010,DE5,1,252.668
2018,NUTS,2010,DE5,1,269.059
2019,NUTS,2010,DE5,1,263.83
2011,NUTS,2010,DE50,2,212.292
2012,NUTS,2010,DE50,2,208.705
2013,NUTS,2010,DE50,2,210.991
2014,NUTS,2010,DE50,2,205.4
2015,NUTS,2010,DE50,2,207.193
2016,NUTS,2010,DE50,2,239.491
2017,NUTS,2010,DE50,2,252.668
2018,NUTS,2010,DE50,2,269.059
2019,NUTS,2010,DE50,2,263.83
2011,NUTS,2010,DE6,1,474.928
2012,NUTS,2010,DE6,1,496.503
2013,NUTS,2010,DE6,1,511.086
2014,NUTS,2010,DE6,1,527.54
2015,NUTS,2010,DE6,1,554.625
2016,NUTS,2010,DE6,1,602.232
2017,NUTS,2010,DE6,1,615.082
2018,NUTS,2010,DE6,1,672.73
2019,NUTS,2010,DE6,1,707.83
2011,NUTS,2010,DE60,2,474.928
2012,NUTS,2010,DE60,2,496.503
2013,NUTS,2010,DE60,2,511.086
2014,NUTS,2010,DE60,2,527.54
2015,NUTS,2010,DE60,2,554.625
2016,NUTS,2010,DE60,2,602.232
2017,NUTS,2010,DE60,2,615.082
2018,NUTS,2010,DE60,2,672.73
2019,NUTS,2010,DE60,2,707.83
2011,NUTS,2010,DE7,1,995.47
2012,NUTS,2010,DE7,1,1067.764
2013,NUTS,2010,DE7,1,1011.675
2014,NUTS,2010,DE7,1,1025.14
2015,NUTS,2010,DE7,1,1122.221
2016,NUTS,2010,DE7,1,1210.108
2017,NUTS,2010,DE7,1,1215.023
2018,NUTS,2010,DE7,1,1290.247
2019,NUTS,2010,DE7,1,1378.65
2011,NUTS,2010,DE71,2,617.879
2012,NUTS,2010,DE71,2,648.968
2013,NUTS,2010,DE71,2,605.041
2014,NUTS,2010,DE71,2,608.785
2015,NUTS,2010,DE71,2,634.312
2016,NUTS,2010,DE71,2,725.073
2017,NUTS,2010,DE71,2,709.204
2018,NUTS,2010,DE71,2,756.717
2019,NUTS,2010,DE71,2,774.57
2011,NUTS,2010,DE72,2,271.45
2012,NUTS,2010,DE72,2,308.918
2013,NUTS,2010,DE72,2,289.485
2014,NUTS,2010,DE72,2,298.443
2015,NUTS,2010,DE72,2,352.652
2016,NUTS,2010,DE72,2,343.952
2017,NUTS,2010,DE72,2,364.566
2018,NUTS,2010,DE72,2,382.431
2019,NUTS,2010,DE72,2,265.88
2011,NUTS,2010,DE73,2,106.142
2012,NUTS,2010,DE73,2,109.878
2013,NUTS,2010,DE73,2,117.149
2014,NUTS,2010,DE73,2,117.913
2015,NUTS,2010,DE73,2,135.258
2016,NUTS,2010,DE73,2,141.082
2017,NUTS,2010,DE73,2,141.253
2018,NUTS,2010,DE73,2,151.099
2019,NUTS,2010,DE73,2,338.2
2011,NUTS,2010,DE8,1,239.748
2012,NUTS,2010,DE8,1,247.053
2013,NUTS,2010,DE8,1,239.112
2014,NUTS,2010,DE8,1,261.497
2015,NUTS,2010,DE8,1,260.565
2016,NUTS,2010,DE8,1,246.991
2017,NUTS,2010,DE8,1,252.65
2018,NUTS,2010,DE8,1,259.171
2019,NUTS,2010,DE8,1,302.06
2011,NUTS,2010,DE80,2,239.748
2012,NUTS,2010,DE80,2,247.053
2013,NUTS,2010,DE80,2,239.112
2014,NUTS,2010,DE80,2,261.497
2015,NUTS,2010,DE80,2,260.565
2016,NUTS,2010,DE80,2,246.991
2017,NUTS,2010,DE80,2,252.65
2018,NUTS,2010,DE80,2,259.171
2019,NUTS,2010,DE80,2,302.06
2011,NUTS,2010,DE9,1,1147.721
2012,NUTS,2010,DE9,1,1201.371
2013,NUTS,2010,DE9,1,1284.274
2014,NUTS,2010,DE9,1,1319.813
2015,NUTS,2010,DE9,1,1370.097
2016,NUTS,2010,DE9,1,1463.68
2017,NUTS,2010,DE9,1,1535.645
2018,NUTS,2010,DE9,1,1615.84
2019,NUTS,2010,DE9,1,1697.49
2011,NUTS,2010,DE91,2,512.5
2012,NUTS,2010,DE91,2,531.912
2013,NUTS,2010,DE91,2,561.586
2014,NUTS,2010,DE91,2,560.582
2015,NUTS,2010,DE91,2,569.852
2016,NUTS,2010,DE91,2,597.26
2017,NUTS,2010,DE91,2,640.031
2018,NUTS,2010,DE91,2,685.629
2019,NUTS,2010,DE91,2,722.95
2011,NUTS,2010,DE92,2,449.129
2012,NUTS,2010,DE92,2,462.291
2013,NUTS,2010,DE92,2,499.768
2014,NUTS,2010,DE92,2,516.6
2015,NUTS,2010,DE92,2,532.034
2016,NUTS,2010,DE92,2,551.236
2017,NUTS,2010,DE92,2,589.767
2018,NUTS,2010,DE92,2,613.399
2019,NUTS,2010,DE92,2,636.29
2011,NUTS,2010,DE93,2,32.821
2012,NUTS,2010,DE93,2,43.65
2013,NUTS,2010,DE93,2,49.07
2014,NUTS,2010,DE93,2,51.573
2015,NUTS,2010,DE93,2,55.997
2016,NUTS,2010,DE93,2,52.185
2017,NUTS,2010,DE93,2,53.318
2018,NUTS,2010,DE93,2,49.486
2019,NUTS,2010,DE93,2,49.08
2011,NUTS,2010,DE94,2,153.271
2012,NUTS,2010,DE94,2,163.519
2013,NUTS,2010,DE94,2,173.849
